Title,Summary,Datasets,Contributors,Link
Process Overview Dashboard,"A dashboard giving a high-level snapshot of PA-X process data — filterable by country, process, or agreement type — covering agreement counts, types, negotiation stage, a timeline, and key issues addressed.",PA-X,Niamh Henry; Sanja Badanjak; Christine Bell,https://www.peaceagreements.org/tracker/colombia/process/
Peace Impacts Dashboard(s),"A dashboard tracking the impacts of peace processes on conflict, security, political, economic, and humanitarian indicators in a country, using PA-X data.",PA-X,Niamh Henry; Sanja Badanjak; Christine Bell,https://www.peaceagreements.org/tracker/all/impacts/
Agreement - Actor Networks Country Profiles,"An interactive network of agreement-actor relationships, where actors and agreements are linked by party or third-party signatory status, with click-through detail on each node, using the PAA-X dataset.",PAA-X,Niamh Henry,https://www.peaceagreements.org/tracker/colombia/actors/
South Sudan Perceptions of Peace Survey,"A dashboard presenting findings from a longitudinal survey on perceptions of peace in South Sudan, by PeaceRep, Detcro, USIP and partners, using the SSD Surveys dataset.",SSD Surveys,Niamh Henry; Jan Pospisil,https://peacerep.org/perceptions-peace-south-sudan/
Children and Youth in Peace Agreements,"A dashboard coding references to children and/or youth across 348 peace agreements (1990-2022) into topics such as child soldiers, children's rights, transitional justice, third-party actors, and inclusion/protection provisions, using PA-X data.",PA-X,Sean Molloy; Niamh Henry,https://peacerep.org/children-and-youth-database/
"Ukraine-Russia Conflict: Dialogues, Proposals and Issues","A network mapping peace proposals and agreements in Russia's war against Ukraine — what topics they address, where topics overlap, and who has signed — drawing on Cindy Wittke's 'Islands of Civility' research compilation rather than a registered dataset.",,Christine Bell; Niamh Henry,https://kumu.io/peacerep/islands-of-civility-russia-war-against-ukraine#islands-of-civility-and-agreement-in-russias-war-against-ukraine
Practical Third Parties Dashboard,"A dashboard exploring practical/de-facto third-party involvement in peace processes by actor or process, using a subset of the PAA-X dataset.",PAA-X,Niamh Henry,https://app.powerbi.com/view?r=eyJrIjoiMjA4NGZjM2EtMjRkOS00YTNkLWE3NTMtYjMzZTIzYWQ1OTg0IiwidCI6IjJlOWYwNmIwLTE2NjktNDU4OS04Nzg5LTEwYTA2OTM0ZGM2MSIsImMiOjh9
Dialogue mapping experiments,"An interactive vis exploring dialogue-mapping methods, last trialled on Myanmar-related questions; it was an experiment with country specific outputs.",,Niamh Henry; Robert Wilson; Sanja Badanjak,
Hierarchy & Continuity in Key Issues,"A dashboard showing the diversity of peace agreements over time, revealing how coverage of key issues has evolved, using PA-X data.",PA-X,Tobias Kauer; Benjamin Bach,https://pax.peaceagreements.org/visualizations/data-overview-visualization/
Back and Forth in Peace Negotiations,"A bespoke timeline contrasting the ideal peace-process sequence with the messy reality of the negotiation stages agreements actually pass through, using PA-X data.",PA-X,Tobias Kauer; Benjamin Bach; Tomas Vancisin,https://pax.peaceagreements.org/visualizations/messy-peace-processes/
Map Visualising Peace Agreements in Time and Space,"A map-and-timeline dashboard of peace agreements and the issues they address, using PA-X data.",PA-X,Lucy Havens; Sarah Schöttler; Benjamin Bach; Mengting Bao,https://www.peaceagreements.org/visualizations/agreements-process-map/
Peace Agreement Sequence Comparison across Countries,"A comparison timeline tool of how peace agreement sequences unfold over time across case countries, using PA-X data, with links to full agreement texts.",PA-X,Lucy Havens; Sarah Schöttler; Benjamin Bach,https://www.peaceagreements.org/visualizations/compare-processes/
PA-X Key Themes through Interactive Infographics,An infographic series highlighting key themes in PA-X peace agreement data.,PA-X,Stewart Lamb Cormar,https://peacerep.org/digital-resources/infographics/
Tile Grid Map of Peace Issues,"A tile grid map showing the composition of peace agreements across key issues, agreement types, and negotiation stages, using PA-X data.",PA-X,Mar Canet; Jaume Nualart,https://areav3.surge.sh/
Peace Agreement Content Alluvial,An alluvial diagram tracking 293 issue and sub-issue categories mentioned across the PA-X collection of peace agreements.,PA-X,Jaume Nualart,https://jaumet.github.io/Alluvial-of-Mentions/
Yemen Timeline,"A beeswarm timeline of conflict events and peace/transition documents in Yemen since 1990, connecting national and local peace initiatives, in Arabic and English, using PA-X data.",PA-X,Tobias Kauer; Benjamin Bach; Robert Wilson; Raiman Al-Hamdani,https://www.peaceagreements.org/visualizations/yemen-timeline/
Five Ways Peace Process can Support Inclusion More Effectively,An illustrated comic explaining five ways peace processes can support inclusion more effectively.,,Serena Fiorini,https://github.com/peacerep/peace-illustrations/blob/main/comic-peace.pdf
Call for Peace Illustrations,"A set of illustrations depicting how conflict impacts children's growth, women's lives, and daily travel.",,Serena Fiorini,https://github.com/peacerep/peace-illustrations/blob/main/illustration.pdf
PA-X Gender Key Insights Story,"A scrollytelling story of key insights on gender provisions in peace agreements — geography, timeline, topic clustering, and trends over time — using PA-X and PA-X Gender data.",PA-X; PA-X Gender,Tomas Vancisin; Laura Wise,https://www.peaceagreements.org/visualizations/gender-vis/
Yemen Map,"A dashboard mapping and timelining Yemen peace agreements by location and date, using the PA-X Peace Agreements Database.",PA-X,Sarah Schöttler; Lucy Havens; Mengting Bao,https://www.peaceagreements.org/visualizations/yemen-map/
Pieces of Peace: Women and Gender in Peace Processes,"A data physicalisation artwork representing women and gender in peace processes, translating PA-X and PA-X Gender data into physical pieces.",PA-X; PA-X Gender,Jenny Long; Jinrui Wang; Tomas Vancisin; Laura Wise; Niamh Henry,https://peacerep.org/2024/11/22/artistic-perspective-representing-pa-x-gender-through-data-physicalisation/
PA-X Chart Explorer,"A dashboard exploring PA-X and PAA-X data through stage-comparison bar charts, actor and topic geo-scatter maps, and an actor co-occurrence UpSet plot.",PA-X; PAA-X,Niamh Henry,https://peacerep.shinyapps.io/paxplorer/
PeaceRep Style Guide,A logo and brand-asset showcase for PeaceRep — not a research data visualisation — listing downloadable PeaceRep logo variants.,,Tomas Vancisin,https://peacerep.github.io/logos/
Global PeaceHub - Mediation Event and Negotiators Database,"An interactive report of mediation data of conflicts by external third parties — a mediator network, map, and heatmap against conflict activity — using MEND mediation-event data and UCDP.",MEND; UCDP,Tomas Vancisin; Mateja Peter,https://peacehub.st-andrews.ac.uk
PA-X Tracker,The PA-X Tracker is an interactive platform that consolidates a range of widely used data sources through PeaceTech tools that provide snap-shot overviews and insights into the dynamic nature of peace and transition processes.,PA-X,Niamh Henry,https://www.peaceagreements.org/tracker/
Provenance of Peacebuilding,"A provenance-tree visualisation making visible the processes and people involved in peacebuilding, using PA-X data.",PA-X,Tomas Vancisin; Niamh Henry; Uta Hinrichs; Jinrui Wang; Benjamin Bach,https://tvancisin.github.io/provenance/
South Sudan Peace Perceptions Map,"A map of survey results on South Sudanese people's perceptions of peace, using the SSD Surveys dataset.",SSD Surveys,Tomas Vancisin; Niamh Henry; Jan Pospisil,https://tvancisin.github.io/south_sudan_survey/
