UID,Declaration_date,Ceasefire_start,Ceasefire_termination,Country_entity,Region_entity,UCDP_code,Longitude_central,Latitude_central,Declaration_type,Reciprocated,Actors,Actors_type,PDF,Headline,Information,Past_agreements,Past_ceasefires,Sources,Media,Media_credit,Media_caption
C12-3,2020-03-27,,,Cameroon,Ambazonia,14129,11.5167,3.8667,Related event,0,Ambazonia Governing Council,Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Cameroon-Ambazonia-Governing-Council-Declaration.pdf,Ambazonia Governing Council rejects unilateral ceasefire,"On 27/03/2020, a statement from Julius Nyiawung, the Vice President of the Ambazonia Governing Council, a separatist group claiming to be the legitimate government of the area, said there would not be a unilateral ceasefire. The Ambazonia Governing Council brings together several armed groups in the region.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=1&SearchForm%5Bcountry_entity%5D%5B%5D=24&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,N/A,"http://www.rfi.fr/en/africa/20200327-mixed-reception-to-call-for-coronavirus-ceasefire-in-cameroon-s-anglophone-regions

https://www.bbc.co.uk/news/world-africa-52551848",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Cameroon-AGC-Declaration.png,,
C12-4,2020-04-10,,2020-04-26,Cameroon,North-West and South-West regions of Ambazonia/ Southern Cameroons,14129,11.5167,3.8667,Update to ceasefire,0,Southern Cameroons Defence Forces (SOCADEF),Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Cameroon-SOCADEF-Ceasefire-Extension-Text.pdf,Southern Cameroons Defence Forces extend ceasefire,"The Southern Cameroons Defence Forces (SOCADEF) extended an initial two week ceasefire on 10/04/2020 to ""permit additional international humanitarian preparation for COVID-19 preparation"" and demanded that the Government of Cameroon respect the global ceasefire call by the UNSG. The statement made special mention of the plight of internally displaced persons (IDPs) and refugees, stating that 3 million Ambazonians fall under these categories. The statement also acknowledged the ""imperfect"" nature of the ceasefire, noting that SOCADEF has opened lines of communication with LRC field commanders to facilitate the ceasefire. The Commander-In-Chief of SOCADEF, Dr. Ebenzer Akwanga says he expects the extension would also give the International Committee of the Red Cross time to qualify the war in Southern Cameroons (Ambazonia) as a Non International Armed Conflict, NIAC.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=1&SearchForm%5Bcountry_entity%5D%5B%5D=24&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,N/A,https://cameroonnewsagency.com/socadef-extends-covid-19-temporary-ceasefire-says-conflict-must-be-qualified/,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Cameroon-SOCADEF-Ceasefire-Extension-Text.png,,
C12-5,2020-04-25,,,Cameroon,Ambazonia,14129,11.5167,3.8667,Update to ceasefire,0,Southern Cameroons Defence Forces (SOCADEF),Non-state,,Southern Cameroons Defence Forces extend ceasefire a second time,"On 25/04/2020, the Southern Cameroons Defence Forces (SOCADEF) announced another extension of its unilateral ceasefire.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=1&SearchForm%5Bcountry_entity%5D%5B%5D=24&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,N/A,"https://www.hdcentre.org/activities/covid-19-global-response-initiative/
https://africanarguments.org/2020/05/27/fighting-continues-anglophone-cameroon-covid-19-concerns/",https://www.politicalsettlements.org/wp-content/uploads/2015/06/1.1.c.jpg,,
C12-6,2020-06-22,,,Cameroon,Nationwide,14129,11.5167,3.8667,Related event,0,Global Campaign for Peace and Justice,Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Cameroon-Global-Campaign-for-Peace-and-Justice-Call-for-Ceasefire.pdf,Nobel Prize laureates call for Cameroon ceasefire,"On 22/06/2020, the Global Campaign for Peace and Justice, ""an informal group of academics, activists, journalists, lawyers, students, and other concerned citizens around the world"", including Nobel Peace Prize laureates and former heads of states, called for a nationwide humanitarian ceasefire in Cameroon. The call addresses the national government and non-state armed groups, as well as the UN and regional organisations, such as the African Union, and implores all waring parties to put people's immediate health ahead of military objectives.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=1&SearchForm%5Bcountry_entity%5D%5B%5D=24&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,N/A,"https://www.dw.com/en/nobel-prize-laureates-call-for-cameroon-ceasefire/a-53901189?fbclid=IwAR2Lw3A3JMKV9PUbo4V2P4rmbX69BxaSVmeM-ihUyIy-7zogOYwwRUwCgp8

https://cameroonpeacejustice.ca/cc/

https://www.facebook.com/watch/?v=748763889269315",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Cameroon-Global-Campaign-for-Peace-and-Justice-Call-for-Ceasefire.png,,
C13-1,2020-03-18,,,Philippines,Nationwide,209,121.0000,14.5800,Unilateral ceasefire,0,Republic of the Philippines,State,,President Duterte declares unilateral ceasefire,"President Rodrigo Duterte declared a unilateral ceasefire with the Communist Party of the Philippines (CPP) and its armed wing, the New People's Army (NPA), on 18/03/2020, effective from 19/03/2020 to 15/04/2020. Government forces were ordered to stop offensive operations against armed communist rebels so the state could focus on efforts to counter COVID-19. Presidential Spokesperson Salvador Panelo said the President directed the Department of National Defense (DND) and the Department of the Interior and Local Government (DILG) to issue the Suspension of Offensive Military and Police Operations (Somo) to implement the ceasefire.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://cnnphilippines.com/news/2020/3/18/duterte-cpp-npa-ceasefire-covid-19.html
 
 https://news.abs-cbn.com/news/03/18/20/philippines-declares-ceasefire-with-communist-rebels-amid-luzon-lockdown
 
 https://www.sunstar.com.ph/article/1849031",https://www.politicalsettlements.org/wp-content/uploads/2020/06/23683983725_d022fd1412_b.jpg,"by philwarren, licensed under CC BY 2.0",
C13-2,2020-03-19,2020-03-19,2020-04-15,Philippines,Nationwide,209,121.0000,14.5800,Unilateral ceasefire,0,Republic of the Philippines,State,,Government ceasefire commences,"A unilateral ceasefire of the Philippines Government with the Communist Party of the Philippines (CPP) and its armed wing, the New People's Army (NPA) commences. It was declared on 18/03/2020, and is effective from 19/03/2020 to 15/04/2020. Both the police and the military welcomed the ceasefire, saying this would allow them to focus on responding to the threat of COVID-19 whilst remaining on defense.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://cnnphilippines.com/news/2020/3/18/duterte-cpp-npa-ceasefire-covid-19.html
 
 https://news.abs-cbn.com/news/03/18/20/philippines-declares-ceasefire-with-communist-rebels-amid-luzon-lockdown
 
 https://www.sunstar.com.ph/article/1849031",https://www.politicalsettlements.org/wp-content/uploads/2020/06/640px-67Philippine_Independence_Day_Rizal_Park_46.jpg,by Judgefloro is licensed under CC0 1.0,
C13-3,2020-04-18,,,Philippines,Nationwide,209,121.0000,14.5800,Update to ceasefire,0,Republic of the Philippines,State,,Government announces ceasefire not to be extended,"On 18/04/2020, Government security forces announced the ceasefire would not be extended. Central Command chief Lt. Gen. Roberto Ancan said military operations against communist rebels in the Visayas had resumed on 16/04/2020. The Communist Party of the Philippines' armed wing, the New People's Army (CPP-NPA), accused the government of committing atrocities by launching 13 attacks between 16/03/2020 and 15/04/2020.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.philstar.com/nation/2020/04/19/2008219/afp-no-extension-ceasefire-reds
 
 https://www.philstar.com/headlines/2020/04/21/2008659/no-decision-yet-ceasefire-reds
 
 https://www.crisisgroup.org/crisiswatch",https://www.politicalsettlements.org/wp-content/uploads/2020/07/Philippine_Marines_with_28th_Company_8th_Marine_Battalion_Landing_Team.jpg,,Philippines Marine Battalion
C13-4,2020-03-24,,,Philippines,Nationwide,209,121.0000,14.5800,Unilateral ceasefire,0,New People’s Army (NPA)/ Bagong Hukbong Bayan (BHB),Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Philippines-CPP-Ceasefire-Text.pdf,Communist Party of the Philippines orders its armed wing to observe ceasefire,"The Communist Party of the Philippines (CPP) ordered all commands and units of its armed wing, the New People’s Army (NPA), and the people’s militias to observe a nationwide ceasefire on 24/032020, aimed at both buying time for its forces and fighting COVID-19. However, the Armed Forces of the Philippines said it recorded NPA attacks against soldiers tapped to help in the government’s fight against COVID-19 even though the rebels extended the ceasefire.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://cpp.ph/statement/ceasefire-order-00-00h-of-26-march-2020-to-23-59h-of-15-april-2020/
 
 https://www.philstar.com/nation/2020/04/19/2008219/afp-no-extension-ceasefire-reds",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Philippines-CPP-Ceasefire-Text.png,,
C13-5,2020-03-26,2020-03-26,2020-04-15,Philippines,Nationwide,209,121.0000,14.5800,Unilateral ceasefire,0,New People’s Army (NPA)/ Bagong Hukbong Bayan (BHB),Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Philippines-CPP-Ceasefire-Text.pdf,Communist Party of the Philippines ceasefire commences,"A ceasefire by the Communist Party of the Philippines (CPP) and its armed wing, the New People’s Army (NPA), and the people’s militias, commences. It was declared on 24/03/2020 and is set to be nationwide.The NPA's negotiating body, the National Democratic Front of the Philippines noted that its cessation of hostilities could be seen as a gesture of goodwill that could facilitate the resumption of peace negotiations.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://cpp.ph/statement/ceasefire-order-00-00h-of-26-march-2020-to-23-59h-of-15-april-2020/
 
 https://www.philstar.com/nation/2020/04/19/2008219/afp-no-extension-ceasefire-reds",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Philippines-CPP-Ceasefire-Text.png,,
C13-6,2020-03-30,,,Philippines,Nationwide,209,121.0000,14.5800,Update to ceasefire,0,New People’s Army (NPA)/ Bagong Hukbong Bayan (BHB),Non-state,,Communist Party of the Philippines releases statement to uphold ceasefire,"On 30/03/2020, the New People’s Army (NPA), the armed wing of the opposition forces of the Communist Party of the Philippines (CPP), released a supplementary statement to uphold the COVID-19 ceasefire of 24/03/2020.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://ndfp.org/cpp-npa-ceasefire-stands-amid-covid-19-response/,https://www.politicalsettlements.org/wp-content/uploads/2015/06/1.1.a2.jpg,,
C13-7,2020-04-16,,2020-04-30,Philippines,Nationwide,209,121.0000,14.5800,Update to ceasefire,0,New People’s Army (NPA)/ Bagong Hukbong Bayan (BHB),Non-state,,Communist Party of the Philippines extends ceasefire for two more weeks,"The Communist Party of the Philippines (CPP) extended the ceasefire until 30/04/2020 after President Duterte had prolonged the Luzon-wide quarantine to allow health authorities to conduct more coronavirus tests, “to ensure quick and unimpeded support to all people requiring urgent medical, health and socioeconomic assistance in the face of the public emergency over the COVID-19 pandemic.” It also reiterated the call for the “urgent release” of all political prisoners and for declaring a general amnesty and expressed desire for the resumption of the peace negotiations between the Government of the Republic of the Philippines (GRP) and the National Democratic Front of the Philippines (NDFP), which is the negotiating coalition of the CPP.

The Government cited a failure of the CPP and its armed wing, the New People's Army (NPA), to act in good faith as the main reason the ceasefire extension was not reciprocated.",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://cpp.ph/statement/cpp-leadership-orders-extension-of-ceasefire/
 
 https://www.philstar.com/nation/2020/04/19/2008219/afp-no-extension-ceasefire-reds",https://www.politicalsettlements.org/wp-content/uploads/2015/06/4.1.b.jpg,,
C13-8,2020-04-30,,,Philippines,Nationwide,209,121.0000,14.5800,Update to ceasefire,0,New People’s Army (NPA)/ Bagong Hukbong Bayan (BHB),Non-state,,New People's Army resumes military operations,"The New People’s Army (NPA) resumed operations after 26 days of ceasefire on 01/05/2020, stating that ""the refusal of the Duterte regime to relent in its attacks against the NPA, despite calls for a “global ceasefire” has made the further extension of the NPA ceasefire impossible.""",https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bregion%5D%5B%5D=3&SearchForm%5Bcountry_entity%5D%5B%5D=113&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://cpp.ph/statement/npa-ceasefire-to-end-midnight-tonight/,https://www.politicalsettlements.org/wp-content/uploads/2015/06/1.1.b.jpg,,
C14-1,2020-03-25,2020-03-26,,Nigeria,Benue State,N/A,8.6775,9.0778,Multiparty ceasefire,0,"Chairs of Agatu, Etulo, Fulani, Hausa, Idoma, Igbo, Igede, Jukun, Tiv and Yoruba ethnic groups",Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Nigeria-Joint-Statement.pdf,Inter-communal ceasefire in Benue State,"An agreement to peaceful co-existence during and beyond the pandemic was signed by community leaders, youth groups and women leaders of 10 farmer-herder communities at a dialogue led by the organisation Humanitarian Dialogue (HD) to resolve the intercommunal farmer-herder conflict in Benue state in Nigeria. The Agreement aimed to allow for collective action against the pandemic and a resolution of the conflict and built on longer-term pre-COVID-19 negotiations.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=102&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,N/A,"https://twitter.com/hdcentre/status/1244622385246019584
 
 https://reliefweb.int/sites/reliefweb.int/files/resources/FI04_Coronavirus_IN.pdf

https://www.hdcentre.org/activities/covid-19-global-response-initiative/",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Nigeria-Joint-Statement.png,,
C15-1,2020-03-31,2020-04-01,2020-06-30,Sudan,Blue Nile and South Kordofan,309,32.5324,15.5518,Unilateral ceasefire,Yes,Sudan People’s Liberation Movement-North (SPLM-N El Hilu faction)/ Harakat Al-Sha'abi Li-Tahrir Al-Sudan-Al-Shamal,Non-state,,Sudan People’s Liberation Movement-North extends pre-COVID-19 ceasefire,"On 31/03/2020, the Sudan People’s Liberation Movement-North faction led by Abdelaziz El Hilu (SPLM-N El Hilu) announced the extension of a pre-COVID-19 ceasefire (due to end on 31/03/2020) starting from 01/04/2020 until 30/05/2020. The movement said that the decision to extend the cessation of hostilities unilaterally in all areas under its control comes as a goodwill gesture and to give the ongoing peace talks in Juba an opportunity to succeed. The Sudanese government welcomed the extension and termed the unilateral truce as a ""significant step"" that demonstrated political will and a strong desire to achieve a and sustainable peace. Sovereign Council member and spokesman for the government’s negotiating delegation in Juba, Mohamed El Taayshi welcomed El Hilu’s statement and reiterated the government’s firm commitment to a comprehensive ceasefire in all regions of the Sudan that began on 16/10/2019. El Taayshi considered the extension of the cessation of hostilities an important step that demonstrates political will and a strong desire to achieve the comprehensive and sustainable peace that the Sudanese people deserve.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=130&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=130&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.dabangasudan.org/en/all-news/article/coronavirus-holdout-darfur-rebels-extend-ceasefire; 
 
 https://sudantribune.com/spip.php?article69166
 
https://www.dabangasudan.org/en/all-news/article/sudan-s-two-areas-rebel-cease-fire-extended-till-march",,,
C15-2,2020-03-30,,,Sudan,Darfur,309,32.5324,15.5518,Related event,0,Sudan Liberation Movement/Army of Abdel Wahid al-Nur (SLM/A-AW),Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Sudan-SLMN-Ceasefire-Text.pdf,Sudan Liberation Movement extends de-facto ceasefire,"On 31/03/2020, the Sudan Liberation Movement/Army of Abdel Wahid al-Nur (SLM/A-AW) accepted the UN’s calls for a ceasefire in Darfur but reiterated its rejection to join the peace process in Juba. The SLM stated it would continue to exercise a de facto ceasefire and not engage in offensive operations bar self-defence. Furthermore, leader Abdel Wahid al-Nur criticized the Hamdok government saying that it had no authority on the ground and that the power ""remains in the hands of the leadership of the Sudanese Armed Forces"" and the ""Janjaweed genocidaire militias"", rejecting the peace process and describing it as ""a cosmetic exercise"" to ""legitimize a transitional government that lacks genuine sovereignty"".",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=130&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=130&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://sudantribune.com/spip.php?article69163
 
 https://reliefweb.int/sites/reliefweb.int/files/resources/FI04_Coronavirus_IN.pdf",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Sudan-SLMN-Ceasefire-Text.png,,
C16-1,2020-04-09,,,South Sudan,South Sudan,11345,31.5825,4.8517,Unilateral ceasefire,0,South Sudan Opposition Movements Alliance (SSOMA),Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/South-Sudan-SSOMA-Ceasefire-Text.pdf,South Sudan Opposition Movements Alliance re-commits to existing ceasefire,"On 09/04/2020, the South Sudan Opposition Movements Alliance (SSOMA) renewed their commitment to the Cessation of Hostilities Agreement it signed in Rome on 12/01/2020 with the Government of South Sudan, reiterating its concern for the general safety of the South Sudanese people in the midst of COVID-19. SSOMA also committed to facilitate humanitarian access to South Sudan’s populations. The statement was made by the Leadership Council of SSOMA, comprising the leaders of 6 armed movements and political parties, namely the National Salvation Front (NAS), the South Sudan United Front (SSUF), the South Sudan National Movement for Change (SSNMC), the Real Sudan People’s Liberation Movement (R-SPLM), the National Democratic Movement Patriotic Front (NDM/PF) and the United Democratic Revolutionary Alliance (UDRA).",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=127&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=127&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bagreement_stage_sub%5D%5B%5D=Ceasefire%2Frelated&SearchForm%5Bversion%5D=&s=Search+Database&timeline,"https://www.hdcentre.org/updates/south-sudan-opposition-movements-commit-to-cease-all-hostilities-amidst-covid-19-pandemic/
 
 https://www.nassouthsudan.com/blog/2020/04/11/ssoma-responds-to-uns-covid-19-ceasefire-request/

https://www.nassouthsudan.com/download/20200409-ssomas-response-to-the-of-un-sg-on-covid-19-ceasefire-request/",https://www.politicalsettlements.org/wp-content/uploads/2020/06/South-Sudan-SSOMA-Ceasefire-Text.png,,
C17-1,2020-04-03,2020-04-03,2020-04-30,Thailand,"Patani, Southern Thailand",423,100.5014,13.7540,Unilateral ceasefire,0,National Revolutionary Front/Barisan Revolusi Nasional Melayu Patan (BRN),Non-state,https://www.politicalsettlements.org/wp-content/uploads/2020/06/Thailand-BRN-Ceasefire-Text.pdf,National Revolutionary Front declares ceasefire,"The National Revolutionary Front (BRN), the largest seperatist movement in Thailand's Deep South, declared a unilateral, open-ended ceasefire with the Thai Government on 03/04/2020 that would remain in force only for as long as the BRN was not attacked by government forces. It stated the ceasefire was intended to create a more stable environment for health workers. The ceasefire announcement was unprecedented in the history of the separatist insurgency. The Thai government did not reciprocate the ceasefire and continued its security operations. Maj. Gen. Pramote Prom-in, the Thai army’s regional spokesman dismissed the declaration as irrelevant to military efforts to curb violent activities in the southern border region. The Thai military said it would continue to “enforce laws on those who perpetrate against both officials and innocents ”and did not rule out anti-rebel operations.",https://www.peaceagreements.org/searchadv?SearchForm%5Bcountry_entity%5D%5B%5D=134&SearchForm%5Bname%5D=&SearchForm%5Bdate_after%5D=&SearchForm%5Bdate_before%5D=&SearchForm%5Bcategory_mode%5D=any&SearchForm%5Bagreement_text%5D=&SearchForm%5Bversion%5D=&s=Search+Database&timeline,N/A,"https://www.benarnews.org/english/commentaries/far-south-view/brownie-points-04072020145240.html
  
https://asiatimes.com/2020/04/covid-19-gives-peace-a-chance-in-south-thailand/",https://www.politicalsettlements.org/wp-content/uploads/2020/06/Thailand-BRN-Ceasefire-Text.png,,
